;Codigo;Nome;Preco;VolumeMedio;DividendYield;PatrimonioLiq;P/VP;Cotas;Segmento;Valorizacao12Meses
FIIP11B;FIIP11B;RB CAPITAL RENDA I FDO INV IMOB - FII;R$ 193,00;663;0,64%;R$ 180 mi;1,00;100;Logística;0.08
FIVN11;FIVN11;FDO INV IMOB VIDA NOVA - FII;R$ 2,90;683;0,00%;R$ 82 mi;0,33;9.412.630;Shoppings;-0.07
FIXX11;FIXX11;FATOR IFIX FDO INV IMOB - FII;R$ 81,57;438;0,47%;R$ 34 mi;0,88;365.972;Títulos e Val. Mob.;-0.03
FLMA11;FLMA11;FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA;R$ 3,50;35.560;0,39%;R$ 200 mi;1,21;69.033.500;Híbrido;0.09
FLRP11;FLRP11;FDO INV IMOB - FII FLORIPA SHOPPING;R$ 1.280,00;29;0,45%;R$ 74 mi;0,96;48.000;Shoppings;-0.06
FMOF11;FMOF11;FDO INV IMOB MEMORIAL OFFICE;R$ 83,49;208;0,00%;R$ 68 mi;0,63;508.008;Lajes Corporativas;0.01
FOFT11;FOFT11;CSHG TOP FOFII 2 FDO INV IMOB - FII;R$ 91,80;261;0,60%;R$ 110 mi;0,96;119.604;Títulos e Val. Mob.;0.31
FPAB11;FPAB11;FDO INV IMOB PROJETO ÁGUA BRANCA;R$ 350,00;60;0,51%;R$ 280 mi;0,94;750.000;Lajes Corporativas;0.08
FVPQ11;FVPQ11;FDO INV IMOB VIA PARQUE SHOPPING - FII;R$ 185,00;1.763;0,53%;R$ 520 mi;0,98;2.120.589;Shoppings;0.04
GGRC11;GGRC11;GGR COVEPI RENDA FDO INV IMOB;R$ 131,15;25.338;0,51%;R$ 750 mi;1,13;1.413.807;Logística;0.02
GRLV11;GRLV11;CSHG GR LOUVEIRA FDO DE INV IMOB - FII;R$ 111,26;3.483;0,58%;R$ 120 mi;0,98;107.353;Logística;-0.04
HBTT11;HBTT11;FDO INV IMOB HABITAT I;R$ 1.150,00;10;0,83%;R$ 170 mi;0,88;66.567;Outros;0.2
HFOF11;HFOF11;HEDGE TOP FOFII 3 FDO INV IMOB;R$ 102,00;8.433;1,22%;R$ 240 mi;1,04;2.208.467;Títulos e Val. Mob.;-0.01
HGBS11;HGBS11;CSHG BRASIL SHOPPING - FDO INV IMOB - FII;R$ 251,00;9.184;0,55%;R$ 1,2 bi;1,12;45.000;Shoppings;-0.03
HGCR11;HGCR11;CSHG RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB - FII;R$ 114,30;16.251;0,59%;R$ 270 mi;1,09;30.000;Títulos e Val. Mob.;-0.0
HGJH11;HGJH11;CSHG JHSF PRIME OFFICES FDO INV IMOB - FII;R$ 184,50;1.165;0,44%;R$ 250 mi;1,23;165.000;Lajes Corporativas;0.28
HGLG11;HGLG11;CSHG LOGÍSTICA FDO INV IMOB - FII;R$ 148,42;10.614;0,48%;R$ 950 mi;1,23;7.881.340;Logística;0.03
HGRE11;HGRE11;CSHG REAL ESTATE FDO INV IMOB - FII;R$ 148,80;11.810;0,47%;R$ 1,1 bi;0,98;40.000;Lajes Corporativas;0.02
HGRU11;HGRU11;CSHG RENDA URBANA - FDO INV IMOB - FII;R$ 108,35;2.639;0,58%;R$ 150 mi;1,05;1.500.000;Híbrido;0.0
HMOC11;HMOC11;HEDGE SHOPPING PRAÇA DA MOÇA FDO INV IMOB;R$ 230,00;2.985;0,56%;R$ 69 mi;1,28;382.017;Shoppings;-0.14
HUSC11;HUSC11;FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA;R$ 173,99;12;0,84%;R$ 72 mi;1,74;721.821;Outros;0.0
IRDM11;IRDM11;FII IRIDIUM RECEBÍVEIS IMOBILIÁRIOS;R$ 113,78;6.389;0,70%;R$ 180 mi;1,19;1.080.000;Títulos e Val. Mob.;-0.0
JSRE11;JSRE11;JS REAL ESTATE MULTIGESTÃO - FII;R$ 105,07;11.617;0,52%;R$ 900 mi;0,95;60.000;Híbrido;0.0
KNCR11;KNCR11;KINEA RENDIMENTOS IMOBILIÁRIOS FDO INV IMOB - FII;R$ 103,85;34.318;0,57%;R$ 3,7 bi;0,99;200.000;Títulos e Val. Mob.;0.0
KNHY11;KNHY11;KINEA HIGH YIELD CRI FDO INV IMOB - FII;R$ 114,99;1.446;0,88%;R$ 420 mi;1,10;4.000.000;Títulos e Val. Mob.;0.0
KNIP11;KNIP11;KINEA ÍNDICES DE PREÇOS FDO INV IMOB - FII;R$ 112,82;13.935;0,76%;R$ 1,9 bi;1,06;4.000.000;Títulos e Val. Mob.;0.03
KNRE11;KNRE11;KINEA II REAL ESTATE EQUITY FDO INV IMOB;R$ 8,70;9.619;0,96%;R$ 130 mi;1,28;10.000;Residencial;-0.37
KNRI11;KNRI11;KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII;R$ 151,33;27.566;0,49%;R$ 2,6 bi;1,05;258.979;Híbrido;0.03
LVBI11;LVBI11;FDO INV IMOB - VBI LOGÍSTICO;R$ 113,00;481;0,62%;R$ 300 mi;1,16;3.030.000;Logística;0.0
MALL11;MALL11;MALLS BRASIL PLURAL FDO INV IMOB;R$ 106,02;7.295;0,55%;R$ 290 mi;0,97;1.860.134;Shoppings;0.14
MBRF11;MBRF11;FDO INV IMOB MERCANTIL DO BRASIL - FII;R$ 1.200,01;60;0,70%;R$ 120 mi;1,02;101.664;Outros;0.03
MFII11;MFII11;MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I - FII;R$ 110,25;4.515;1,04%;R$ 200 mi;1,10;57.000;Híbrido;-0.11
MXRF11;MXRF11;MAXI RENDA FDO INV IMOB - FII;R$ 11,47;66.809;0,62%;R$ 290 mi;1,24;538.834;Híbrido;-0.03
NVHO11;NVHO11;FDO INV IMOB - FII NOVO HORIZONTE;R$ 31,10;166;0,18%;R$ 300 mi;4,33;41.494.533;Hospital;0.03
ONEF11;ONEF11;FDO INV IMOB THE ONE;R$ 145,40;570;0,49%;R$ 100 mi;1,30;32.100;Lajes Corporativas;0.02
ORPD11;ORPD11;OURO PRETO DESENV IMOB I FDO INV IMOB - FII;R$ 123,62;1;N/A;R$ 36 mi;0,98;N/A;Títulos e Val. Mob.;0.11
OUCY11;OUCY11;FUNDO INV IMOB - OURINVEST CYRELA - FII;R$ 95,15;686;0,65%;R$ 52 mi;0,97;533.916;Títulos e Val. Mob.;-0.03
OUJP11;OUJP11;OURINVEST JPP FDO INV IMOB - FII;R$ 109,90;2.072;0,72%;R$ 75 mi;1,06;720.000;Títulos e Val. Mob.;0.02
PABY11;PABY11;FDO INV IMOB PANAMBY;R$ 23,49;80;0,00%;R$ 190 mi;0,09;758.400;Híbrido;0.05
