;codigo;titulo;endereco;bairro;estado;cidade;area
AGCX11;AGCX11;Ag Quitauna;Av. dos Autonomistas, 5386;Vila Yara;SP;Osasco;2.250,00 m2
AGCX11;AGCX11;Ag R. dos Italianos;R. dos Italianos, 609 621 623;Bom Retiro;SP;São Paulo;520,50 m2
AGCX11;AGCX11;Ag Rec Bandeirantes;Av. das Américas, 15545;Recreio dos Bandeirantes;RJ;Rio de Janeiro;919,00 m2
AGCX11;AGCX11;Ag Rio Claro;Av. 1, 500;Centro;SP;Rio Claro;542,70 m2
AGCX11;AGCX11;Ag Santa Cecilia;R. das Palmeiras, 233 (Loja);Vila Buarque;SP;São Paulo;1.205,86 m2
AGCX11;AGCX11;Ag São Gonçalo;R. Dr. Nilo Peçanha, 125;Centro;RJ;São Gonçalo;1.388,00 m2
AGCX11;AGCX11;Ag Senador Queiros;Av. Senador Queiroz, 85 a 111;Centro;SP;São Paulo;1.446,96 m2
AGCX11;AGCX11;Ag Venda Nova;R. Padre Pedro Pinto, 1.580;Venda Nova;MG;Belo Horizonte;2.585,45 m2
AGCX11;AGCX11;Ag Via Anchieta;Via Anchieta, 1558;Vila Moinho;SP;São Paulo;1.785,00 m2
AGCX11;AGCX11;Ag Vila Mascote;Av. Santa Catarina, 287;Vila Alexandria;SP;São Paulo;753,36 m2
ALZR11;ALZR11;Air Liquide;Av. Presidente Wilson, 5874;Vila Carioca;SP;São Paulo;5.008,00 m2
ALZR11;ALZR11;Atento;Av. Dom Hélder Câmara, 3203;Del Castilho;RJ;Rio de Janeiro;8.178,00 m2
BBFI11B;BBFI11B;Centro Administrativo do Andaraí;Rua Barão São Francisco, 177;Andaraí;RJ;Rio de Janeiro;40.176,69 m2
BBFI11B;BBFI11B;Edíficio Sede I - Agência Banco do Brasil;Setor Bancário Sul Q. 1;;DF;Brasília;46.135,00 m2
BBPO11;BBPO11;Ag. Afonso Pena;Av. Afonso Pena, 2202;Centro;MS;Campo Grande;8.103,28 m2
BBPO11;BBPO11;Ag. Aldeota;Av. Santos Dumont, 2889;Aldeota;CE;Fortaleza;5.476,78 m2
BBPO11;BBPO11;Ag. Ana Rosa;Rua Domingos de Moraes, 438;Vila Mariana;SP;São Paulo;1.688,00 m2
BBPO11;BBPO11;Ag. Araçatuba;Pça. Rui Barbosa, 322;centro;SP;Araçatuba;6.070,59 m2
BBPO11;BBPO11;Ag. Asa Norte 504;Av. W-3 Qd 504 Asa Norte;;DF;Brasilia;4.593,67 m2
BBPO11;BBPO11;Ag. Asa Sul 507;Av. W-3 Qd.7 Lt.7, 8 e 9 - Asa Sul 507;;DF;Brasilia;1.757,82 m2
BBPO11;BBPO11;Ag. Belém Centro;Av. Pres. Vargas, 248;;PA;Belém;10.514,51 m2
BBPO11;BBPO11;Ag. Belo Horizonte;Rua Rio de Janeiro, 750;Centro;MG;Belo Horizonte;18.909,00 m2
BBPO11;BBPO11;Ag. Bom Retiro;Rua Julio Conceição, 438;Bom Retiro;SP;São Paulo;2.962,00 m2
BBPO11;BBPO11;Ag. Bonfim;Av. Gov. Pedro de Toledo, 1099;Bonfim;SP;Campinas;8.170,00 m2
BBPO11;BBPO11;Ag. Brás;Av. Rangel Pestana, 2128;Brás;SP;São Paulo;4.247,00 m2
BBPO11;BBPO11;Ag. Brooklin Paulista;Rua Joaquim Nabuco, 246;;SP;São Paulo;1.843,00 m2
BBPO11;BBPO11;Ag. Campinas;Rua Dr. Costa Aguiar, 626;Centro;SP;Campinas;5.981,84 m2
BBPO11;BBPO11;Ag. Campos Elíseos;Av. Rio Branco, 1.437;Campos Elíseos;SP;São Paulo;5.991,00 m2
BBPO11;BBPO11;Ag. Campos Goytacazes;Pça. das 4 Jornadas, 11;Centro;RJ;Campos Goytacazes;7.322,74 m2
BBPO11;BBPO11;Ag. Carijós;Rua Espírito Santo, 571;Centro;MG;Belo Horizonte;5.407,00 m2
BBPO11;BBPO11;Ag. Casa Verde;Rua Baroré, 284;Casa Verde;SP;São Paulo;2.268,00 m2
BBPO11;BBPO11;Ag. Catedral Sorocaba;Rua XV de Novembro, 63/67;centro;SP;Sorocaba;2.089,00 m2
BBPO11;BBPO11;Ag. Caxias do Sul;Rua Marques do Herval, 1354 - Ed. Satélite;Centro;RS;Caxias do Sul;5.778,75 m2
BBPO11;BBPO11;Ag. Centro;Rua XV de Novembro, 191;centro;SP;Sorocaba;6.614,50 m2
BBPO11;BBPO11;Ag. Cinelândia;Av. 13 de Maio, 13;Centro;RJ;RIO DE JANEIRO;1.834,12 m2
BBPO11;BBPO11;Ag. Conjunto Nacional;SDN Conj. A Lj.C-03 - 2º pavto.;;DF;Brasilia;1.207,40 m2
BBPO11;BBPO11;Ag. Duque de Caxias;Av. Presidente Kennedy, 1461;Centro;RJ;Duque de Caxias;3.535,61 m2
BBPO11;BBPO11;Ag. Florianópolis;Pça. XV de Novembro 321;Centro;SC;Florianópolis;6.788,73 m2
BBPO11;BBPO11;Ag. Freguesia do Ó;Av. Santa Marina, 2.618;Vila Albertina;SP;São Paulo;2.259,00 m2
BBPO11;BBPO11;Ag. General Valadão;Pça. General Valadão, 377;Centro;SE;Aracaju;6.077,92 m2
BBPO11;BBPO11;Ag. Ipiranga;Rua Bom Pastor, 153/169;Ipiranga;SP;São Paulo;7.007,00 m2
BBPO11;BBPO11;Ag. Jacarepaguá;Av.Geremário Dantas, 78;Tanque;RJ;RIO DE JANEIRO;1.300,96 m2
BBPO11;BBPO11;Ag. Juiz de Fora;Rua Halfeld, 770;Centro;MG;Juiz Fora;6.587,20 m2
BBPO11;BBPO11;Ag. Leblon;Av.Bartolomeu Mitre, 438 A;Leblon;RJ;RIO DE JANEIRO;1.373,42 m2
BBPO11;BBPO11;Ag. Manaus;Rua Guilherme Moreira, 315;Centro;AM;Manaus;9.269,63 m2
BBPO11;BBPO11;Ag. Maringá;Av. Duque de Caxias, 448;Centro;PR;Maringa;7.623,36 m2
BBPO11;BBPO11;Ag. Moema;Al. dos Jurupis, 1.156;Indianópolis;SP;São Paulo;2.353,00 m2
BBPO11;BBPO11;Ag. Niterói;Av. Ernani Amaral Peixoto, 347;Centro;RJ;Niteroi;4.431,34 m2
BBPO11;BBPO11;Ag. N. Sra. da Lapa;Rua N. Sra. da Lapa, 281;Lapa;SP;São Paulo;3.878,31 m2
BBPO11;BBPO11;Ag. Paraíso;Rua Bernardino de Campos, 250;;SP;São Paulo;1.447,00 m2
BBPO11;BBPO11;Ag. Passo Fundo;Rua Bento Gonçalves, 516;Centro;RS;Passo Fundo;506,00 m2
BBPO11;BBPO11;Ag. Pça. da Árvore;Av. Jabaquara, 424 - Pça. da Árvore;Mirandópolis;SP;São Paulo;2.506,37 m2
BBPO11;BBPO11;Ag. Pça. Rui Barbosa;Pça. Rui Barbosa, 55;;SP;Bauru;4.085,00 m2
BBPO11;BBPO11;Ag. Pça. XV Novembro BESC;Pça. XV de Novembro 321;Centro;SC;Florianópolis;3.663,99 m2
BBPO11;BBPO11;Ag. Penha de Franca;Av. Penha de França, 549;Penha de França;SP;São Paulo;2.312,10 m2
BBPO11;BBPO11;Ag. Pinheiros;Rua Pinheiros, 1.492;Pinheiros;SP;São Paulo;2.375,00 m2
BBPO11;BBPO11;Ag. Ponta Grossa;Rua Augusto Ribas, 555;Centro;PR;Ponta Grossa;7.562,77 m2
BBPO11;BBPO11;Ag. Ribeirão Preto;Rua Duque de Caxias, 725;Centro;SP;Ribeirão Preto;3.642,79 m2
BBPO11;BBPO11;Ag. Santana;Rua Voluntários da Pátria, 1.769;Santana;SP;São Paulo;2.061,00 m2
BBPO11;BBPO11;Ag. Santo Amaro Paulista;Rua Paulo Eiró, 471;Santo Amaro;SP;São Paulo;4.879,00 m2
BBPO11;BBPO11;Ag. São Caetano do Sul;Pça. Cardeal Arcoverde, 52;centro;SP;São Caetano do Sul;3.733,00 m2
BBPO11;BBPO11;Ag. São José dos Campos;Av. Doutor Nelson D'Ávila, 149;centro;SP;São José dos Campos ;6.501,15 m2
BBPO11;BBPO11;Ag. São José Rio Preto ;Rua Voluntários de São Paulo, 2975;Centro;SP;São José do Rio Preto;3.042,94 m2
BBPO11;BBPO11;Ag. Tamoios;Rua Tamoios, 731;Centro;MG;Belo Horizonte;14.829,70 m2
BBPO11;BBPO11;Ag. Tijuca;Rua Conde de Bonfim, 369 A;Tijuca;RJ;RIO DE JANEIRO;1.291,87 m2
BBPO11;BBPO11;Ag. Toledo;Rua 7 de Setembro, 1209;Centro;PR;Toledo;4.696,00 m2
BBPO11;BBPO11;Ag. Uberlândia;Av. Afonso Pena, 745;Centro;MG;Uberlândia;6.241,00 m2
BBPO11;BBPO11;Ag. Vila Carrão;Av. Conselheiro Carrão, 2411;Vila Carrao;SP;São Paulo;2.538,00 m2
BBPO11;BBPO11;Ag. Zona Sul;Av. N. Senhora de Copacabana, 594;Copacabana;RJ;RIO DE JANEIRO;2.062,03 m2
BBPO11;BBPO11;CSL Belo Horizonte;Rua da Bahia, 2.500;Lourdes;MG;Belo Horizonte;14.176,09 m2
BBPO11;BBPO11;CSL Brasília;Av. Goiás, 980 - QD. 14;Centro;GO;Goiânia;11.133,35 m2
BBPO11;BBPO11;CSL Curitiba;Pça. Tiradentes, 410;Centro;PR;Curitiba;14.619,73 m2
BBPO11;BBPO11;CSL São Paulo;Rua Líbero Badaró, 568 e Av. São João, 32;centro;SP;São Paulo;3.662,50 m2
BBPO11;BBPO11;CSL São Paulo;Rua Líbero Badaró, 582 e Rua São Bento, 483;Centro;SP;São Paulo;1.436,50 m2
BBPO11;BBPO11;Ed. Sede III;Qd 01 Bloco G Lote 32-SBS;;DF;Brasilia;46.054,40 m2
BBPO11;BBPO11;PSO Piracicaba ;Pça. José Bonifácio, 945;Centro;SP;Piracicaba;5.122,37 m2
BBPO11;BBPO11;Super VAR e GOV MT;Rua Felinto Muller, 2104;Quilombo;MT;Cuiabá;3.347,98 m2
BBPO11;BBPO11;Super VAR e GOV RS;Rua Honório Silveira Dias, 1830;Higienopolis;RS;Porto Alegre;4.280,00 m2
BBRC11;BBRC11;Ag. Av. Francisco Morato;Av. Prof. Francisco Morato, 2004;Butantã;SP;São Paulo;893,23 m2
BBRC11;BBRC11;Ag. Av. Santo Amaro;Av. Santo Amaro, 2163;Brooklin Paulista;SP;São Paulo;1.185,27 m2
BBRC11;BBRC11;Ag. Demarchi;Av. Maria Servidei Demarchi, 1662;Demarchi;SP;São Bernardo do Campo;691,63 m2
BBRC11;BBRC11;Ag. Estilo Av. Portugal;Av. Portugal, 519;Centro;SP;Santo André;657,94 m2
BBRC11;BBRC11;Ag. Estilo Berrini;Av. Eng. Luis Carlos Berrini, 559;Itaim Bibi;SP;São Paulo;787,53 m2
BBRC11;BBRC11;Ag. Estilo Brasil;Av. Brasil, 418;Jardins;SP;São Paulo;623,55 m2
BBRC11;BBRC11;Ag. Estilo Butantã;Av. Prof. Francisco Morato, 1214;Butantã;SP;São Paulo;741,56 m2
BBRC11;BBRC11;Ag. Estilo Cambuí;R. Coronel Quirino , 644;Centro;SP;Campinas;748,68 m2
BBRC11;BBRC11;Ag. Estilo Estados Unidos;R. Estados Unidos, 1931;Jardim America;SP;São Paulo;582,92 m2
BBRC11;BBRC11;Ag. Estilo Indianópolis;Av. Indianópolis, 546;Indianópolis;SP;São Paulo;674,39 m2
BBRC11;BBRC11;Ag. Estilo Joaquim Floriano;R. Joaquim Floriano, 666;Itaim Bibi;SP;São Paulo;683,97 m2
BBRC11;BBRC11;Ag. Estilo Nova Faria Lima;Al. Gabriel Monteiro da Silva, 2032;Jardim America;SP;São Paulo;601,63 m2
BBRC11;BBRC11;Ag. Estilo Santo Amaro;R. Marechal Deodoro, 440;Santo Amaro;SP;São Paulo;592,74 m2
BBRC11;BBRC11;Ag. Estilo Vila Esperança;Av. Amador Bueno da Veiga, 1516;Penha de Franca;SP;São Paulo;583,13 m2
BBRC11;BBRC11;Ag. Imperatriz Leopoldina;R. Guaipá, 1389;Vila Leopoldina;SP;São Paulo;1.003,04 m2
BBRC11;BBRC11;Ag. Paes de Barros;Av. Paes de Barros, 2621;Mooca;SP;São Paulo;819,72 m2
BBRC11;BBRC11;Ag. Parque da Aclimação;R. Pires da Mota, 488;Liberdade;SP;São Paulo;839,35 m2
BBRC11;BBRC11;Ag. Pedro Pinho;Av. Gen. Pedro Pinho, 641;Pestana;SP;Osasco;953,20 m2
BBRC11;BBRC11;Ag. Pq. Boturussu;Av. São Miguel, 2328;Vila Marieta;SP;São Paulo;775,41 m2
BBRC11;BBRC11;Ag. Raposo;Av. Eng. Heitor Antônio Eiras Garcia, 3963;;SP;São Paulo;879,88 m2
BBVJ11;BBVJ11;Cidade Jardim Continental Tower;Av. Magalhães de Castro, 4800;Jardim Panorama do Oeste;SP;São Paulo;22.465,00 m2
BMLC11B;BMLC11B;Brascan Century Plaza;Rua Joaquim Floriano, nº 466;Itaim Bibi;SP;São Paulo;1.453,18 m2
BMLC11B;BMLC11B;Torre Rio Sul;Rua  Lauro  Muller,  nº 116;Botafogo;RJ;Rio de Janeiro;5.837,16 m2
BNFS11;BNFS11;Ag Arroio do Sal;Av. Assis Brasil, 659;Centro;RS;Arroio do Sal;421,54 m2
BNFS11;BNFS11;Ag Belém Novo;Av. Cecilio Monza, 10827;Belém Novo;RS;Porto Alegre;558,70 m2
BNFS11;BNFS11;Ag Camboim;Av. Joao Pereira de Vargas,1460;Camboim;RS;Sapucaia do Sul;418,83 m2
BNFS11;BNFS11;Ag Campina;Rua Henrique Bier,1125;Campina;RS;São Leopoldo;477,94 m2
BNFS11;BNFS11;Ag Cassino;Av. Atlantica, 537;Cassino;RS;Rio Grande;403,45 m2
BNFS11;BNFS11;Ag Cruz Alta;Av. Venancio Aires, 1745;Centro;RS;Cruz Alta;1.069,66 m2
BNFS11;BNFS11;Ag General Câmara;Rua Jose Do Patrocinio, 165;General Câmara;RS;General Câmara;373,20 m2
BNFS11;BNFS11;Ag Padre Claret;Av. Padre Claret 1104;Centro;RS;Esteio;475,70 m2
BNFS11;BNFS11;Ag Parobé;Rua Odorico Mosmann,257;Centro;RS;Parobe;513,03 m2
BNFS11;BNFS11;Ag Quarai;Rua Baltazar Brum, 320;;RS;Quarai;475,70 m2
BNFS11;BNFS11;Ag Santa Rosa;Av. Flores d a Cunha 681;Cruzeiro;RS;Santa Rosa;503,67 m2
BNFS11;BNFS11;Ag São Gabriel;Av. Julio de Castillhos,303;Centro;RS;São Gabriel;465,43 m2
BNFS11;BNFS11;Ag Sapiranga;Av. 20 de Setembro, 3755;Centro;RS;Sapiranga;922,02 m2
BNFS11;BNFS11;Ag Scharlau;Av. Tomaz Edison, 2615;Scharlau;RS;São Leopoldo;533,70 m2
BNFS11;BNFS11;Ag Tancredo Neves;Av. N. Sra. das Dores, 322;Nossa Senhora das Dores;RS;Santa Maria;498,30 m2
BNFS11;BNFS11;Ag Taquari;Rua Osvaldo Aranha, 2396;Centro;RS;Taquari;770,82 m2
BNFS11;BNFS11;Ag Vacaria;Rua Moreira Paz 591;Nossa Senhora de Fatima;RS;Vacaria;916,54 m2
BNFS11;BNFS11; Ag Vila Ipiranga;Av do Forte, 1128;Vila Ipiranga;RS;Porto Alegre;495,20 m2
BRCR11;BRCR11;Brazilian FC;Av. Paulista, 1374;Bela Vista;SP;São Paulo;42.612,00 m2
BRCR11;BRCR11;CENESP;Av. Maria Coelho Aguiar, 215;Jardim São Luís;SP;São Paulo;64.480,00 m2
BRCR11;BRCR11;Centro Empresarial Transatlântico;Rua Verbo Divino 1488;Chácara Santo Antônio;SP;São Paulo;4.209,44 m2
BRCR11;BRCR11;Edifício Burity;Av. Indianópolis 3096,;Indianópolis;SP;São Paulo;10.549,53 m2
BRCR11;BRCR11;Edifício Cargill;Av. Morumbi 8234;Santo Amaro;SP;São Paulo;10.625,81 m2
BRCR11;BRCR11;Edifício Eldorado Business Tower;Av. Das Nações Unidas 8501;Várzea de Baixo;SP;São Paulo;45.400,28 m2
BRCR11;BRCR11;Edifício Volkswagen;Rua Volkswagen 291;Jabaquara;SP;São Paulo;12.560,00 m2
BRCR11;BRCR11;Flamengo Park Towers;Praia do Flamengo 66;Flamengo;RJ;Rio de Janeiro;7.670,00 m2
BRCR11;BRCR11;Montreal;Av. Das Américas 4200;Barra da Tijuca;RJ;Rio de Janeiro;6.439,00 m2
BRCR11;BRCR11;Torre Almirante;Av. Almirante Barroso 81;Centro;RJ;Rio de Janeiro;24.881,00 m2
CBOP11;CBOP11;Torre Jatobá - Castello Branco Office Park;Av. Marcos Penteado de Ulhoa Rodrigues, 939;Tamboré;SP;Barueri;14.372,30 m2
CEOC11;CEOC11;Edifício Corporate Executive Offices (CEO);Avenida João Cabral de Mello Neto, 850;Barra da Tijuca;RJ;Rio de Janeiro;11.942,00 m2
CTXT11;CTXT11;Centro Têxtil Internacional;Avenida Roberto Zuccolo nº 555;Vila Leopoldina;SP;São Paulo;45.450,00 m2
CXCE11B;CXCE11B;CEDAE;Av. Pres. Vargas, 2655;Cidade Nova;RJ;Rio de Janeiro;19.938,00 m2
CXTL11;CXTL11;Aspro;Rod. BR-277 Km 107;Rondinha;PR;Campo Largo;4.577,94 m2
CXTL11;CXTL11;Atmosfera;Rua Projetada A, 240;Xerém;RJ;Duque de Caxias;7.671,38 m2
CXTL11;CXTL11;Ferla;Av. Portugal, 1046;Jardim Nova Itapevi;SP;Itapevi;7.225,86 m2
CXTL11;CXTL11;Schahin;Avenida Lauro Roberto Vasconcelos Fonseca Filho, 200;Vale Encantado;RJ;Macaé;4.714,00 m2
DOMC11;DOMC11;Domo Corporate;R. José Versolato, 101;Baeta Neves;SP;São Bernardo do Campo;30.600,60 m2
DRIT11B;DRIT11B;Nações Unidas;Av. Nações Unidas, 20000;Brooklin Novo;SP;São Paulo;947,36 m2
DRIT11B;DRIT11B;Pedra Grande;Av. Brig. Faria Lima, 1306;Pinheiros;SP;São Paulo;1.576,34 m2
DRIT11B;DRIT11B;Platinum;Alameda Santos, 787;Bela Vista;SP;São Paulo;623,70 m2
DRIT11B;DRIT11B;Torre Sul;Rua James Joule, 65;Berrini;SP;São Paulo;865,58 m2
EDFO11B;EDFO11B;Edifício Ourinvest;Av. Paulista, 1728;Bela Vista;SP;São Paulo;5.029,38 m2
EURO11;EURO11;CDA 1 - Módulos 1/2/3/4;Via Anhanguera, km, 17,25;;SP;São Paulo;22.865,30 m2
EURO11;EURO11;CDA 2;Rua Jornalista Paulo Zingg, 570;;SP;São Paulo;1.929,40 m2
EURO11;EURO11;CDA 3;Via Anhanguera, km, 17,25;;SP;São Paulo;1.496,50 m2
EURO11;EURO11;CDRIO-1;Rua Sargente Aquino, 136;;RJ;Rio de Janeiro;1.995,10 m2
EURO11;EURO11;CDRIO-2;Rua Comandante Vergueiro Cruz,206;;RJ;Rio de Janeiro;4.409,51 m2
EURO11;EURO11;Laboratório Teste de Elevadores;Av. Interlagos,4.455;;SP;São Paulo;3.298,00 m2
FAMB11B;FAMB11B;Edifício Almirante Barroso;Avenida Rio Branco, nº 174;Centro;RJ;Rio de Janeiro;56.429,46 m2
FCFL11;FCFL11;Insper – Instituto de Ensino e Pesquisa;Rua Quatá, nº 300;Vila Olímpia;SP;São Paulo;30.967,97 m2
FFCI11;FFCI11;Candelaria Corporate;Rua da Candelária nº 65;Centro;RJ;Rio de Janeiro;1.297,00 m2
FFCI11;FFCI11;Cetenco Plaza;Avenida Paulista 1842;Cerqueira Cesar;SP;São Paulo;2.135,00 m2
FFCI11;FFCI11;Continental Square;R. Olimpíadas, 205;Vila Olímpia;SP;São Paulo;6.246,10 m2
FFCI11;FFCI11;Internacional Rio;Praia do Flamengo nº 154;Flamengo;RJ;Rio de Janeiro;1.480,00 m2
FFCI11;FFCI11;Jatobá;Rua Surubim, 373;Brooklin Novo;SP;São Paulo;1.520,00 m2
FFCI11;FFCI11;JK Financial Center;Av. Juscelino Kubitschek, 510;Itaim Bibi;SP;São Paulo;5.155,00 m2
FFCI11;FFCI11;Parque Cultural Paulista;Avenida Paulista, 37;;SP;São Paulo;2.031,00 m2
FFCI11;FFCI11;Parque Paulista;Alameda Santos, 1940;Cerqueira César;SP;São Paulo;1.151,00 m2
FFCI11;FFCI11;Parque Santos;Alameda Santos, 1163;Cerqueira César;SP;São Paulo;5.135,00 m2
FIGS11;FIGS11;Parque Shopping Maia;Av. Bartolomeu de Carlos, 230;Jardim Flor da Montanha;SP;Guarulhos;31.711,00 m2
FIGS11;FIGS11;Shopping Bonsucesso;Estr. Juscelino Kubtischek de Oliveira, 5308;Jd.Albertina;SP;Guarulhos;24.293,00 m2
FIIB11;FIIB11;Perini Business Park;R. Dona Francisca, 8300;Distrito Industrial;SC;Joinville;102.601,71 m2
FIIP11B;FIIP11B;Ambev;R. Alfredo Pinto, 1405;Afonso Pena;PR;São José dos Pinhais;10.376,55 m2
FIIP11B;FIIP11B;Barry Callebaut;Rod. Ilhéus-Uruçuca, S/N;Iguape;BA;Ilhéus;9.917,95 m2
FIIP11B;FIIP11B;C&A;Rua Domingos Agostim, 91;Tatuapé;SP;São Paulo;4.103,94 m2
FIIP11B;FIIP11B;Danfoss;R. Américo Vespúcio, 85;Vila Menck;SP;Osasco;11.108,00 m2
FIIP11B;FIIP11B;Lojas Leader;R. Nelson Ramos, S/N;Centro;RJ;Nova Iguaçu;3.076,06 m2
FIIP11B;FIIP11B;Magazine Luiza;R. Ronat Valter Sodré, 2672;Santa Paula;PR;Ibiporã;23.121,59 m2
FIIP11B;FIIP11B;Telhanorte;Av. General David Sarnoff, 4840;Cidade Industrial;MG;Contagem;7.328,00 m2
FIVN11;FIVN11;Shopping Taboão Plaza Outlet;Avenida Vida Nova, 28;Taboão da Serra;SP;São Paulo;66.498,00 m2
FLMA11;FLMA11;Continental Square;R. Olimpíadas, 205;Vila Olímpia;SP;São Paulo;22.921,74 m2
FLRP11;FLRP11;Florianópolis Shopping Center;Rodovia Virgílio Várzea, nº 587, área 2;Saco Grande;SC;Florianópolis;29.633,47 m2
FMOF11;FMOF11;Edifício Memorial Office;Rua Júlio Gonzáles, 132;Barra Funda;SP;São Paulo;13.105,00 m2
FPAB11;FPAB11;Torre New York e Los Angeles;Av. Francisco Matarazzo, 1.500;Barra Funda;SP;São Paulo;35.810,72 m2
FVPQ11;FVPQ11;Via Parque Shopping;Av. Ayrton Senna, 3000;Barra da Tijuca;RJ;Rio de Janeiro;57.239,00 m2
GGRC11;GGRC11;AETHRA;Avenida Rui Barbosa nº 4.563;Iná;PR;São José dos Pinhais;21.069,00 m2
